Name,Party,Receipts,Disbursements,Cash_on_hand,Date,District
Steve Chabot,Republican Party,1987002,715680,989647,"As of June 30, 2020",1
Kate Schroder,Democratic Party,1434401,931419,502983,"As of June 30, 2020",1
Kevin Kahn,Libertarian Party,4487,4045,442,"As of June 30, 2020",1
Brad Wenstrup,Republican Party,1219999,678197,965772,"As of June 30, 2020",2
Jaime Castle,Democratic Party,124641,66263,58378,"As of June 30, 2020",2
Mark Richardson,Republican Party,0,0,0,Data not available,3
Joyce Beatty,Democratic Party,1959574,2410075,818742,"As of June 30, 2020",3
Steve Perkins,Libertarian Party,0,0,0,Data not available,4
Jim Jordan,Republican Party,9185517,6762253,3157010,"As of June 30, 2020",4
Shannon Freshour,Democratic Party,773579,650523,123056,"As of June 30, 2020",4
Bob Latta,Republican Party,1163329,739712,1039219,"As of June 30, 2020",5
Nick Rubando,Democratic Party,148469,116394,32175,"As of June 30, 2020",5
Bill Johnson,Republican Party,1407155,1143941,1109281,"As of June 30, 2020",6
Shawna Roberts,Democratic Party,4189,9190,34048,"As of December 31, 2019",6
Quentin Potter,Democratic Party,0,0,0,Data not available,7
Bob Gibbs,Republican Party,579047,139848,592812,"As of June 30, 2020",7
Brandon Lape,Libertarian Party,3123,2552,571,"As of June 30, 2020",7
Warren Davidson,Republican Party,746267,406183,569592,"As of June 30, 2020",8
Vanessa Enoch,Democratic Party,15862,9925,16090,"As of June 30, 2020",8
McKenzie Levindofske,Independent,0,0,0,Data not available,9
Marcy Kaptur,Democratic Party,768292,750416,689676,"As of June 30, 2020",9
Rob Weber,Republican Party,88986,79146,9841,"As of June 30, 2020",9
Michael Turner,Republican Party,1112736,597137,576834,"As of June 30, 2020",10
Desiree Tims,Democratic Party,610403,274304,336099,"As of June 30, 2020",10
Marcia Fudge,Democratic Party,551686,378591,1096681,"As of June 30, 2020",11
Laverne Gore,Republican Party,21679,14644,7035,"As of June 30, 2020",11
John Stewart,Libertarian Party,0,0,0,Data not available,12
Troy Balderson,Republican Party,1336984,603523,755351,"As of June 30, 2020",12
Alaina Shearer,Democratic Party,456312,256823,199488,"As of June 30, 2020",12
Michael Fricke,Libertarian Party,0,0,0,Data not available,13
Tim Ryan,Democratic Party,870294,594881,393608,"As of June 30, 2020",13
Christina Hagan,Republican Party,227948,98087,130190,"As of June 30, 2020",13
David Joyce,Republican Party,2244871,1053299,1441817,"As of June 30, 2020",14
Hillary O'Connor Mueri,Democratic Party,354733,197157,157576,"As of June 30, 2020",14
Steve Stivers,Republican Party,2204773,887934,1727003,"As of June 30, 2020",15
Joel Newby,Democratic Party,13452,10507,2945,"As of June 30, 2020",15
Anthony Gonzalez,Republican Party,1735200,745135,1056612,"As of June 30, 2020",16
Aaron Godfrey,Democratic Party,15189,6309,9491,"As of June 30, 2020",16
