Congressional_district,Eighteen_to_twenty_nine_year_olds_estimate,Thirty_to_forty_four_year_olds_estimate,Forty_five_to_sixty_four_year_olds_estimate,Sixty_five_and_older_estimate
1,115385,127214,188655,110441
2,110038,135103,193722,119108
3,153956,152437,173350,81220
4,107261,120580,192235,122798
5,108332,120658,190308,129873
6,92786,115894,198331,138792
7,102049,127143,193475,134357
8,112205,122391,189359,122451
9,124360,125503,185628,110258
10,119030,123728,182094,127662
11,115904,112868,177785,118246
12,116111,143636,203572,122621
13,121208,118910,188243,131570
14,91212,116235,202802,143419
15,122586,148238,195592,119676
16,94003,119356,195092,144865
